top - 17:24:54 up  5:22,  1 user,  load average: 0.54, 0.66, 0.52
Tasks: 427 total,   1 running, 426 sleeping,   0 stopped,   0 zombie
%Cpu(s):  5.9 us,  2.5 sy,  0.0 ni, 91.2 id,  0.5 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15767.8 total,   1922.7 free,   6280.3 used,   7564.8 buff/cache
MiB Swap:   2048.0 total,   2048.0 free,      0.0 used.   6892.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   2919 vandana+  20   0 1061512 107144  56696 S   0.0   0.7   1:55.13 Xorg
   2932 vandana+  20   0  188216  13944  12352 S   0.0   0.1   0:00.02 gnome-s+
   2936 vandana+  20   0  407464  20700   4268 S   0.0   0.1   0:03.04 PanGPA
   3012 vandana+  20   0    6044    456      0 S   0.0   0.0   0:00.04 ssh-age+
   3030 vandana+  20   0  306036   6760   6180 S   0.0   0.0   0:00.00 at-spi-+
   3035 vandana+  20   0   25732   4572   4128 S   0.0   0.0   0:00.10 dbus-da+
   3043 vandana+  20   0   90064   4360   3940 S   0.0   0.0   0:00.00 gnome-s+
   3049 vandana+  20   0  567032  16088  13484 S   0.0   0.1   0:00.16 gnome-s+
   3063 vandana+  20   0 5014060 301988 106096 S   0.0   1.9   2:13.42 gnome-s+
   3099 vandana+  20   0  319408   8640   7196 S   0.0   0.1   0:00.31 ibus-da+
   3103 vandana+  20   0  162708   7156   6536 S   0.0   0.0   0:00.00 ibus-me+
   3104 vandana+  20   0  276340  31520  17948 S   0.0   0.2   0:01.04 ibus-ex+
   3106 vandana+  20   0  197920  28028  18188 S   0.0   0.2   0:00.23 ibus-x11
   3109 vandana+  20   0  236376   6280   5828 S   0.0   0.0   0:00.27 ibus-po+
   3120 vandana+  20   0  162836   7520   6736 S   0.0   0.0   0:00.36 at-spi2+
   3124 vandana+  20   0  235600   4768   4328 S   0.0   0.0   0:00.00 xdg-per+
   3126 vandana+  20   0  804384  21980  17816 S   0.0   0.1   0:00.15 gnome-s+
   3135 vandana+  20   0 1017492  35244  26780 S   0.0   0.2   0:00.31 evoluti+
   3143 vandana+  20   0  159268   8248   5040 S   0.0   0.1   0:00.06 dconf-s+
   3146 vandana+  20   0  162348   6472   5812 S   0.0   0.0   0:00.00 gvfsd-m+
   3149 geoclue   20   0  902752  21504  14512 S   0.0   0.1   0:04.63 geoclue
   3155 vandana+  20   0 1613140  46568  32924 S   0.0   0.3   0:00.88 evoluti+
   3177 vandana+  20   0  690496  30376  26556 S   0.0   0.2   0:00.11 evoluti+
   3201 vandana+  20   0 2930284  27096  21828 S   0.0   0.2   0:00.11 gjs
   3213 vandana+  20   0  314060   8260   6908 S   0.0   0.1   0:00.04 gvfsd-t+
   3229 vandana+  20   0  310276   6400   5804 S   0.0   0.0   0:00.02 gsd-a11+
   3230 vandana+  20   0  710156  30704  20192 S   0.0   0.2   0:00.31 gsd-col+
   3231 vandana+  20   0  374232  16140  14200 S   0.0   0.1   0:00.03 gsd-dat+
   3234 vandana+  20   0  312340   7580   6756 S   0.0   0.0   0:00.48 gsd-hou+
   3236 vandana+  20   0  428816  29124  19056 S   0.0   0.2   0:00.27 gsd-key+
   3239 vandana+  20   0  910292  31616  21032 S   0.0   0.2   0:00.42 gsd-med+
   3240 vandana+  20   0  769740  32276  21404 S   0.0   0.2   0:00.50 gsd-pow+
   3244 vandana+  20   0  256748  11596  10120 S   0.0   0.1   0:00.03 gsd-pri+
   3246 vandana+  20   0  457104   6080   5464 S   0.0   0.0   0:00.06 gsd-rfk+
   3247 vandana+  20   0  235512   5900   5372 S   0.0   0.0   0:00.01 gsd-scr+
   3248 vandana+  20   0  465532  10700   8892 S   0.0   0.1   0:02.51 gsd-sha+
   3249 vandana+  20   0  389508   8416   7588 S   0.0   0.1   0:00.01 gsd-sma+
   3251 vandana+  20   0  319968   9052   8048 S   0.0   0.1   0:00.02 gsd-sou+
   3254 vandana+  20   0  385588   7108   6364 S   0.0   0.0   0:00.02 gsd-usb+
   3256 vandana+  20   0  345420  27800  17720 S   0.0   0.2   0:00.26 gsd-wac+
   3258 vandana+  20   0  314704   8068   7156 S   0.0   0.0   0:00.02 gsd-wwan
   3260 vandana+  20   0  347456  29916  19384 S   0.0   0.2   0:00.30 gsd-xse+
   3294 vandana+  20   0  162700   6980   6352 S   0.0   0.0   0:00.07 ibus-en+
   3308 vandana+  20   0  822124  79040  54668 S   0.0   0.5   0:00.50 evoluti+
   3316 vandana+  20   0 2375344 138332 101008 S   0.0   0.9   0:02.29 PanGPUI
   3321 vandana+  20   0  231804   5960   4624 S   0.0   0.0   0:00.00 gsd-dis+
   3363 vandana+  20   0  342184  14984  13084 S   0.0   0.1   0:00.01 gsd-pri+
   3375 vandana+  20   0 1411160 347372  55944 S   0.0   2.2   0:13.48 snap-st+
   3401 vandana+  20   0  678888   6060   5508 S   0.0   0.0   0:00.35 xdg-doc+
   3534 vandana+  20   0  610788  10704   9412 S   0.0   0.1   0:00.73 xdg-des+
   3538 vandana+  20   0  494644  28728  19280 S   0.0   0.2   0:00.38 xdg-des+
   4496 vandana+  20   0   32.6g 355400 194168 S   0.0   2.2   3:32.02 chrome
   4501 vandana+  20   0    8228    580    512 S   0.0   0.0   0:00.00 cat
   4502 vandana+  20   0    8228    516    452 S   0.0   0.0   0:00.00 cat
   4505 vandana+  20   0   32.0g   3648   3332 S   0.0   0.0   0:00.00 chrome_+
